name,ra,dec,sp_type,v_mag,parallax,plx_error,snr,reliable
V* V Hya,162.90525661376,-21.25009275779,C-N:6,6.8,2.3095,0.108,21.38,True
V* Z Psc,19.020960020900002,25.76935830696,C-N5,6.84,1.5643,0.0539,29.02,True
V* V1942 Sgr,289.7899733544,-15.908341828600003,C-N5+,6.86,1.5759,0.0409,38.53,True
HD 112127,193.48227174483,26.779995266950003,C-R4IIIb,6.88,7.7945,0.0235,331.68,True
V* Y Tau,86.41420890269,20.695041275089995,C-N5-,6.9,1.5006,0.0592,25.35,True
V* V Aql,286.10064373823,-5.68484564484,C-N5,6.9,2.3257,0.1146,20.29,True
V* V CrB,237.38046749095,39.57163684146,"C6,2e_MS3",6.9,1.1378,0.0238,47.81,True
V* RV Cen,204.40023056754998,-56.476404737029995,C-N3,7.0,1.1569,0.0249,46.46,True
V* WZ Cas,0.31606997761,60.35528497784,C-N7III:,7.13,2.1227,0.0297,71.47,True
V* UZ Pyx,131.65138445264,-29.72811191865001,C-J4,7.17,0.8949,0.0183,48.9,True
V* T Dra,269.09720353641,58.21855093689,"C6,2e",7.2,1.0214,0.0786,12.99,True
V* V996 Cen,213.53062178896997,-53.93199110098,C,7.25,1.7366,0.0354,49.06,True
V* V Oph,246.68211154589,-12.42661581908,C-N:4,7.3,1.348,0.0264,51.06,True
V* S Cep,323.80343045858,78.62449587272,"C7,3e",7.4,2.0452,0.0697,29.34,True
V* V1302 Cen,209.57131206784,-56.35313852395001,C,7.44,1.098,0.023,47.74,True
V* RV Mon,104.58953866134001,6.16709952161,"C4,5",7.47,1.6275,0.0351,46.37,True
V* R For,37.31378234068,-26.09879071825,"C4,3e",7.5,1.8069,0.0358,50.47,True
V* RY Mon,106.73531389966,-7.557362735750001,C-N5,7.5,1.13,0.0254,44.49,True
V* SZ Lep,83.94882339906,-25.73847956557,C-N3.5III,7.59,1.1301,0.017,66.48,True
V* UV Cam,61.47437473794,61.79443723932,C-J4,7.6,1.1913,0.0187,63.71,True
V* T Cnc,134.16723996003,19.849144429819997,C-N5,7.6,1.039,0.0682,15.23,True
V* S Cen,186.14132728770997,-49.44020225755,C-R4,7.6,1.5635,0.0291,53.73,True
CGCS 6791,292.60220558264,21.88585023638,"C0,0",7.6,0.2636,0.0954,2.76,False
HD 156074,258.38016897685,42.10632451495,C-R2III,7.61,3.4483,0.0129,267.31,True
V* HK Lyr,280.70835271644,36.95858044416,C-N5,7.65,1.1328,0.0196,57.8,True
V* ST And,354.6880542188699,35.77256743368,"C5,4e_MS3",7.7,0.4614,0.0242,19.07,True
V* V Cyg,310.32611533979,48.14133638345,"C7,4eJ",7.7,1.8331,0.1454,12.61,True
V* TV Cen,183.63190468018996,-51.53262813069,C,7.72,1.1784,0.0234,50.36,True
V* T Cae,71.82884859897,-36.20932536959,C-N4IV:,7.73,0.7755,0.0166,46.72,True
V* R Lep,74.9014528838,-14.80625068865,"C7,6e",7.76,2.1914,0.0602,36.4,True
HD  65424,119.08669534454,-49.98196188558,C-N4.5,7.78,1.6269,0.0163,99.81,True
V* VX And,4.9750672133,44.70941555134,C-J4.5,7.8,1.5764,0.0256,61.58,True
V* V579 Per,54.80071367376,41.28276148826,F0mA2V_lB,7.84,2.8098,0.1244,22.59,True
HD  38142,86.1575849561,24.91624608948,G8III,7.84,4.8796,0.0271,180.06,True
V* T Lyr,278.08365317761,36.99878756066,C-J4:p,7.84,2.321,0.0355,65.38,True
V* AX Cyg,299.30211115716,44.26112158584,C-N5-,7.85,1.0656,0.019,56.08,True
V* BH Cru,184.06995850058996,-56.28600749811,"C8,2",7.96,0.9591,0.027,35.52,True
HD 217143,344.60023282912,7.63114820081,G9.5IIIBa2+,7.98,2.8979,0.1705,17.0,True
V* SU And,1.15169795324,43.55131331618,C-N5,8.0,0.7254,0.0238,30.48,True
HD 190018,301.37963539025,-52.69332543539001,"C1,1",8.02,3.6352,0.1006,36.14,True
HD  61655,113.64073548155,-70.38199472557,F3IV/V,8.05,6.9232,0.0304,227.74,True
V* VW Gem,100.53577769189002,31.454878039790003,"C5,4_Ba5",8.14,0.8069,0.0243,33.21,True
HD 232820,55.37331843167001,51.5032578147,"C5,5_MS4",8.14,1.4845,0.0366,40.56,True
V* RX Peg,329.09307763235,22.861824187550003,C-J4.5:,8.14,1.2449,0.0222,56.08,True
V* S Cam,85.26038922892,68.79862004193,C-N6-:,8.18,0.7211,0.0197,36.6,True
V* TT Sco,265.12685317931994,-41.630414904,"C4,4",8.18,0.9268,0.0297,31.21,True
V* S Aur,81.78107731059,34.1496802983,C-N5+,8.2,0.9146,0.0365,25.06,True
HD 175883,283.25552404442,64.78766492178,K5,8.21,1.6208,0.0205,79.06,True
V* V350 Mus,203.10525265599998,-74.60995375535,F2IV,8.23,6.135,0.0184,333.42,True
V* RY Lep,87.04274832759,-20.02360079176,A9V,8.25,2.2932,0.0954,24.04,True
HD 190049,300.6331775370999,18.55978211283,"C4,3",8.28,3.236,0.0192,168.54,True
HD  24281,57.52439894306999,-43.53431477155,C-H4:IIIa:,8.29,1.3836,0.0324,42.7,True
Case  194,297.18582176303994,26.1389102082,"C5,3J",8.3,0.6873,0.0387,17.76,True
V* U Lyr,290.03813172815,37.87692200716,"C4,5e",8.3,0.6207,0.0342,18.15,True
V* FU Aur,87.03406664776,30.63109038635,C-N6:,8.31,1.0177,0.0236,43.12,True
HD 108275,186.63252588498997,-13.79492251092,F4Vn,8.32,3.7428,0.0243,154.02,True
V* V2618 Sgr,272.83493846433,-36.582932043019994,,8.36,0.0441,0.0571,0.77,False
CD-62   466,158.57433827146,-62.7109878643,C-H:4,8.36,0.8908,0.0218,40.86,True
V* SY Eri,77.45113426205,-5.5153176975000004,C-N5,8.39,0.8312,0.0392,21.2,True
V* RU Pup,121.87428873553999,-22.91257569089,C-N5III:,8.45,0.6942,0.0232,29.92,True
HD 104274,180.09789890987997,-55.1204889165,C,8.45,0.6527,0.0191,34.17,True
V* TU Tau,86.30718845029,24.42012459865,C-N4+,8.46,0.8482,0.0341,24.87,True
HD 113801,196.60334899470996,-20.058743336979997,C-R3III,8.5,1.4966,0.0327,45.77,True
V* V Aur,96.00972605235,47.70662632883,"C6,2e",8.5,0.6613,0.0305,21.68,True
HD 223392,357.27285692993996,6.382402448349999,C-R3III:,8.5,3.4112,0.0246,138.67,True
V* RY Cyg,302.59758357312,35.94705600835001,"C5,4",8.5,0.8346,0.0192,43.47,True
V* V971 Cen,203.1736080542,-53.83097110057,C-R2+III,8.51,0.741,0.0225,32.93,True
V* RT Pup,121.3332715351,-38.77668889235999,C-N5.5IIIa:,8.52,1.0183,0.0161,63.25,True
V* SZ Sgr,266.23531640133126,-18.6573114528725,C-N5.5,8.52,0.7636,0.0314,24.32,True
V* X Sge,301.27049486639,20.64815810947,"C6,4",8.53,0.8764,0.021,41.73,True
V* GM Cnc,138.45867825851,14.210886186209999,"C4,4J",8.57,1.4452,0.0228,63.39,True
HD  32088,75.84602579322,50.63280208257,C-N5-,8.57,0.9288,0.0279,33.29,True
HD  19557,47.85552860473,57.90311772875,C-J4,8.59,1.7559,0.0284,61.83,True
V* RU Cam,110.4338248198,69.67075692436,"C0,1_CH4",8.6,0.7284,0.0203,35.88,True
HD 123821,212.11438697009999,51.59236884882,C-R2IIIa,8.63,1.4746,0.0183,80.58,True
HD 130255,221.75835590900996,1.39314613621,G9VBa2,8.64,1.9614,0.0257,76.32,True
V* HV UMa,178.90848840978,47.25739885506,A3,8.64,3.993,0.0194,205.82,True
HD 280188,73.14530751268,38.505528606389994,"C8,1J",8.64,1.1501,0.0377,30.51,True
V* FO Ser,274.84089178601,-15.612795331669997,C-J4+,8.66,0.8919,0.0214,41.68,True
V* BE CMa,110.91072080344,-22.969658773909995,C-J4.5,8.67,0.8217,0.0202,40.68,True
V* CR Gem,98.59965055786,16.075088160449997,C-N5,8.67,0.9417,0.03,31.39,True
V* IV CMa,95.91301325104,-27.065751466200002,C-N5-,8.69,0.6132,0.0263,23.32,True
V* TU Gem,92.7212614601,26.0148086599,C-N5+,8.694,0.8759,0.0665,13.17,True
V* SY Per,64.13830415634,50.626278688350006,"C6,4",8.7,0.8309,0.0281,29.57,True
V* R Vol,106.40086728112,-73.0144540286,Ce,8.7,1.3931,0.0631,22.08,True
V* W CMi,117.18969564921,5.393164496259999,"C7,2",8.72,0.8181,0.0216,37.87,True
V* GN Cnc,139.01848369033,20.073164844260003,F,8.73,4.3254,0.0227,190.55,True
HD  76115,135.13635140749,75.42914735721,"C3,0+",8.73,3.1538,0.1339,23.55,True
HD  92806,160.50301587442,-50.75506414217,C,8.74,1.8446,0.0176,104.81,True
HD  52432,105.25813961474,-3.2525373785399996,C-J3.5,8.76,1.2317,0.0461,26.72,True
HD  54272,107.22439375672,19.32724097461,A5,8.77,5.9225,0.0195,303.72,True
V* RW Cen,166.82444356831,-55.1219624999,C,8.78,0.5901,0.0178,33.15,True
V* TW Oph,262.43193319796,-19.47301838108,C-N5,8.79,1.7197,0.083,20.72,True
V* RR Her,241.05586629903,50.499164306080004,SC5.5-C71e,8.8,0.7586,0.0186,40.78,True
V* T Lyn,125.67853646032,33.51929736438,"C7,1e_MS2",8.8,0.6036,0.0377,16.01,True
V* WX Cyg,304.63864290278,37.44974451022001,C-J6,8.8,0.8644,0.0247,35.0,True
V* DD Cru,179.99490088285,-58.600775335389976,C-N4IIIa:,8.84,0.7478,0.0181,41.31,True
HD  54797,105.90898927091001,-71.99931675007,F2IV/V,8.86,5.4724,0.0133,411.46,True
V* DY Cru,191.85282954103997,-59.69474272477,C-N5.5,8.86,0.8433,0.0223,37.82,True
V* W Sex,147.74270868771,-2.0286423311600004,"C6,3",8.87,0.8346,0.0276,30.24,True
HD 235661,328.771789328,54.48377833462,"C5,4_MS3",8.877,0.7626,0.02,38.13,True
V* SY Car,168.9107584573,-57.92842762682,C-N5,8.89,0.6558,0.0186,35.26,True
V* RT Cap,304.27720324632,-21.31790732042,"C6,4",8.9,1.7972,0.0449,40.03,True
V* AC Pup,125.68399782353,-15.916493057100004,C-N5,8.9,0.6876,0.0246,27.95,True
V* BE CMi,114.12125776943002,2.0789312344200006,"C5,4",8.9,0.6951,0.0212,32.79,True
HD  29154,67.68890410347,-65.98774874753,"C1,1",8.9,1.4144,0.0127,111.37,True
BD-12  2781,136.22284228221,-13.019155666370002,C,8.9,0.4446,0.0199,22.34,True
HD 150986,251.42438358053,-29.298139621600004,"C1,1",8.91,2.084,0.0182,114.51,True
HD 112869,194.84433614587,37.81769118203001,"C3,5CH9",8.91,0.4779,0.0256,18.67,True
V* GI Per,67.43022001053,39.86721168414,"C7,4",8.92,1.0224,0.0311,32.87,True
V* MT Tel,285.5511635671829,-46.65335660807889,A5II-IIIkA0mA0,8.94,2.0426,0.0301,67.86,True
HD  19881,48.41101970187,47.82607685744,C-N5+,8.94,0.6458,0.027,23.92,True
CD-58  4370,181.3585165649,-59.37967575724999,C,8.95,1.2156,0.0167,72.79,True
V* X Ari,47.12868601547832,10.445894086935278,F0.5,8.97,1.8358,0.0188,97.65,True
V* RV Aur,98.68594451240001,42.50354742899,"C5,3",8.97,0.7545,0.0226,33.38,True
V* V819 Cen,199.84039449370997,-58.1948684107,ApSi,8.99,2.4586,0.038,64.7,True
V* RU Vir,191.82670420297,4.1448212264299995,"C8,1e",9.0,1.28,0.0819,15.63,True
C*  668,106.05706238097001,-47.842641554260005,C,9.0,0.2232,0.016,13.95,True
HD  57884,110.77914694527001,-4.21355314894,"C4+,3",9.0,0.4215,0.0261,16.15,True
V* HI Dra,278.35150255466,58.706485517530005,F8,9.01,3.7803,0.0138,273.93,True
V* CI Cha,166.8379389632,-81.79346487659,C,9.01,0.8557,0.0189,45.28,True
